"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference"
450,"DSM 23844, CCUG 55340, LMG 24078","Alteromonas genovensis","","Alteromonas genovensis","Alteromonas genovensis Vandecandelaere et al. 2008",20215,471225,"species","28",17399,"6.0-8.5",23290,NA,NA,NA,"aerobe",23290,"heterotroph",23290,"GCA_010500895",471225.5,8068957989,66792,"44.5",17399
133345,"CGMCC 1.15735, KCTC 52408, MCCC 1K03175","Alteromonas lipolytica","JW12","Alteromonas lipolytica","Alteromonas lipolytica Shi et al. 2017",20215,1856405,"species","15.0-43.0",25171,"5.5-9.5",25171,NA,NA,NA,"aerobe",25171,"chemoorganotroph",25171,"GCA_001758465",NA,2834723206,66792,"48.4",25171
1403,"DSM 6626, ATCC 51415, IFO 15112, JCM 7361, NBRC 15112, LMG 17667","Amphibacillus xylanus","Ep01","Amphibacillus xylanus","Amphibacillus xylanus Niimura et al. 1990",20215,1449,"species","37",2759,"8.0-10.0",23029,NA,NA,NA,"facultative anaerobe",23029,"chemoorganotroph",23029,"GCA_000307165",698758.3,2524023219,66792,"36",23029
140873,"CECT 8581, LMG 28208","Ampullimonas aquatilis","B15.09-116","Ampullimonas aquatilis","Ampullimonas aquatilis França et al. 2016",20215,1341549,"species","15-35",43699,"5.5-9",43699,NA,NA,NA,"obligate aerobe",43699,"organotroph",43699,"GCA_049675895",NA,NA,124043,"49.8",43699
140730,"KCTC 52581, CGMCC 1.15880, DSM 108668","Amylibacter cionae","H-12","Amylibacter cionae","Amylibacter cionae Wang et al. 2017",20215,2035344,"species","10-35",43509,"6-9",43509,NA,NA,NA,"aerobe",43509,"chemoautolithotroph",43509,"GCA_014643735",2035344.4,3001054348,66792,"53.7",43509
132584,"DSM 100423, JCM 30819, SN 021","Anaerocolumna cellulosilytica","","Anaerocolumna cellulosilytica","Anaerocolumna cellulosilytica Ueki et al. 2016",20215,433286,"species","35",43082,"6.2-8.5",43082,NA,NA,NA,"obligate anaerobe",43082,"chemoorganotroph",43082,"GCA_014202875",433286.3,2861627031,66792,"38.1",24373
140570,"JCM 30224, MCCC 1A00776","Anaeromicrobium sediminis","DY2726D","Anaeromicrobium sediminis","Anaeromicrobium sediminis Zhang et al. 2017",20215,1478221,"species","37",43340,"6.5-9.0",43340,NA,NA,NA,"anaerobe",43340,"heterotroph",43340,"GCA_002270055",1478221.3,2993938144,67770,"33.4",43340
132583,"DSM 100431, JCM 30820","Anaerotaenia torta","FH052","Anaerotaenia torta","Anaerotaenia torta Ueki et al. 2016",20215,433293,"species","35-40",43082,"6.8-8.2",43082,NA,NA,NA,"obligate anaerobe",43082,"chemoorganotroph",43082,"",NA,2861347227,66792,"47.2",24372
140747,"JCM 31556, DSM 103575, KCTC 15705","Anaerotignum aminivorans","SH021","Anaerotignum aminivorans","Anaerotignum aminivorans Ueki et al. 2017",20215,433287,"species","15-40",43524,"6.1-8.2",43524,NA,NA,NA,"obligate anaerobe",43524,"chemoorganotroph",43524,"",NA,NA,NA,"38.2",64905
164306,"JCM 32614, KCTC 15718","Ancylomarina euxinus","M1P","Ancylomarina euxinus","Ancylomarina euxinus Yadav et al. 2020",20215,2283627,"species","18",67770,"7-8",69631,NA,NA,NA,"facultative anaerobe",69631,"chemoorganoheterotroph",69631,"GCA_003863355",2283627.3,2889681909,67770,"35.7",69631
6140,"DSM 4255, ATCC 43788","Annwoodia aquaesulis","","Annwoodia aquaesulis","Annwoodia aquaesulis (Wood and Kelly 1995) Boden et al. 2017",20215,47959,"species","42",1635,"7.0-9.0",43206,NA,NA,NA,"anaerobe",43206,"chemolithoautotroph",43206,"",NA,2765235834,66792,"65.7",1635
